"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode C1)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 1, using 10x barcode C1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500/molecule_info_C1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500/molecule_info_C1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode D1)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 1, using 10x barcode D1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500/molecule_info_D1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500/molecule_info_D1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode E1)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 1, using 10x barcode E1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500/molecule_info_E1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500/molecule_info_E1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode F1)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 1, using 10x barcode F1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500/molecule_info_F1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500/molecule_info_F1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode G1)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 1, using 10x barcode G1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500/molecule_info_G1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500/molecule_info_G1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 2500-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode H1)","Molecule info file for HiSeq 2500-sequenced scRNAseq molecule info (experiment 1, using 10x barcode H1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_2500/molecule_info_H1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_2500/molecule_info_H1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 4000-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode A1)","Molecule info file for HiSeq 4000-sequenced scRNAseq molecule info (experiment 1, using 10x barcode A1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_4000/molecule_info_A1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_4000/molecule_info_A1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 4000-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode B1)","Molecule info file for HiSeq 4000-sequenced scRNAseq molecule info (experiment 1, using 10x barcode B1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_4000/molecule_info_B1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_4000/molecule_info_B1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 4000-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode C1)","Molecule info file for HiSeq 4000-sequenced scRNAseq molecule info (experiment 1, using 10x barcode C1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_4000/molecule_info_C1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_4000/molecule_info_C1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 4000-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode D1)","Molecule info file for HiSeq 4000-sequenced scRNAseq molecule info (experiment 1, using 10x barcode D1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_4000/molecule_info_D1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_4000/molecule_info_D1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 4000-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode E1)","Molecule info file for HiSeq 4000-sequenced scRNAseq molecule info (experiment 1, using 10x barcode E1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_4000/molecule_info_E1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_4000/molecule_info_E1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 4000-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode F1)","Molecule info file for HiSeq 4000-sequenced scRNAseq molecule info (experiment 1, using 10x barcode F1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_4000/molecule_info_F1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_4000/molecule_info_F1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 4000-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode G1)","Molecule info file for HiSeq 4000-sequenced scRNAseq molecule info (experiment 1, using 10x barcode G1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_4000/molecule_info_G1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_4000/molecule_info_G1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
"HiSeq 4000-sequenced scRNAseq mammary epithelial cells (expt. 1 barcode H1)","Molecule info file for HiSeq 4000-sequenced scRNAseq molecule info (experiment 1, using 10x barcode H1; 10x 3' v2 kit)","DropletTestFiles/bach/1.0.0/hiseq_4000/molecule_info_H1.h5",3.12,"mm10","H5","https://jmlab-gitlab.cruk.cam.ac.uk/Jonny/BarcodeSwapping2017Data/raw/master/bcswap_data.tar.gz","hiseq_4000/molecule_info_H1.h5","Mus musculus",10090,NA,"Jonathan Griffiths","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","H5File"
